,name,norm,1Ub_PS,1Ub_base,1Ub_h1,1Ub_hx,1Uc_PS,1Uc_base,1Uc_h1,1Uc_hx,1Ip_PS,1Ip_base,1Ip_h1,1Ip_hx,1Iz_PS,1Iz_base,1Iz_h1,1Iz_hx,2Ub_PS,2Ub_base,2Ub_h1,2Ub_hx,2Uc_PS,2Uc_base,2Uc_h1,2Uc_hx,2Ip_PS,2Ip_base,2Ip_h1,2Ip_hx,2Iz_PS,2Iz_base,2Iz_h1,2Iz_hx,3Ub_PS,3Ub_base,3Ub_h1,3Ub_hx,3Uc_PS,3Uc_base,3Uc_h1,3Uc_hx,3Ip_PS,3Ip_base,3Ip_h1,3Ip_hx,3Iz_PS,3Iz_base,3Iz_h1,3Iz_hx,4Ub_PS,4Ub_base,4Ub_h1,4Ub_hx,4Ip_PS,4Ip_base,4Ip_h1,4Ip_hx,4Iz_PS,4Iz_base,4Iz_h1,4Iz_hx,5Ip_PS,5Ip_base,5Ip_h1,5Ip_hx,5Iz_PS,5Iz_base,5Iz_h1,5Iz_hx,6Ip_PS,6Ip_base,6Ip_h1,6Ip_hx,6Iz_PS,6Iz_base,6Iz_h1,6Iz_hx,dId_PS,dId_base,dId_h1
1485,36ac0c2d941907e1926e59e8e74c0218,хз,s,100,141.431159686635,0.0346210081192313,s,100,141.4291928196015,0.0401736261426059,s,5,7.077306078193496,0.0081378649098681,,,,,s,шум,0.0,0.0,s,шум,0.0,0.0,s,шум,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,36acdaabcd9a246889c4d1d538d122f0,хз,,,,,,,,,s,шум,0.0068152257150237,0.0084254910342533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,36b0af54143015e110beb95d4797887f,хз,s,100,141.45781460453156,0.0255535017534554,s,100,141.45861667666196,0.0259398421874606,s,5,7.070277871410425,0.0093172003404761,s,шум,7.094928306354481,0.0065555707031053,,,,,,,,,s,5,7.07298783952237,0.0087046687500138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,36bf59ecd73d0c6d31bda33aa02e462d,хз,s,100,107.65667194650432,29.673155588901025,s,100,105.7450261920564,27.53460365105625,s,шум,0.0095988776831938,0.0111463268953779,,,,,s,100,84.18653684597429,3.6224298160213255,s,100,84.183364271941,3.659678882173946,s,5,3.159346280557122,0.2961630276369235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,36d44f0fed71aaa7f8d44344e01f28fd,ДА,s,100,141.40364143374688,0.0688987616539282,s,100,141.40820838647235,0.038789507447697,s,5,7.080471743607181,0.0081355370127007,,,,,s,100,141.43636347200132,0.0267072059091107,s,100,141.4207219845906,4.737784381525763,s,5,7.077495471988481,0.0086622479355471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,36eb0852e6e6915a9bc94be96709f426,ДА,s,100,150.8554630104897,19.554979755522684,,,,,s,5,8.84593699320091,2.3078247731782966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,36eb4112450d6cd4d439aca51ff67a1e,хз,s,шум,0.0782958755511764,0.2752321783538948,,,,,s,5,8.630315276980838,3.6690197004710248,s,шум,0.0027098380462642,0.0020211022996269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,3705f21d6733801bf003e2a677df8ba2,ДА,,,,,,,,,s,5,1.6196137669137318,0.2125356973951001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,370777e44554ea6387112afd7064c09e,ДА,s,100,85.53811484172579,1.2917515999048597,,,,,s,5,1.707980735998872,0.5778755781807015,,,,,s,100,85.68447609535454,1.2925259479460312,,,,,s,5,1.7337118923238204,0.5440610088293837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,370ca347714bb26030aabecf98c99688,raw,,,,,p,?1,0.2622587944686571,0.1108456450407549,p,?1,0.0366903613053742,0.0151716472327981,,,,,,,,,p,?1,0.2717696687241718,0.1151233221042725,s,шум,0.0002618439468347,0.0002391407483073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
