file_name,IA,IC,UA BB,UB BB,UC BB,UN BB
ffcacf44cae74848751247458c0c039d_Bus 1,0.22128500044345856,-0.09228400141000748,84.2120590209961,-29.528947830200195,-54.1866569519043,0.30175700783729553
ffcacf44cae74848751247458c0c039d_Bus 1,0.22128500044345856,-0.12905600666999817,80.71087646484375,-15.187943458557129,-64.99465942382812,0.3182710111141205
ffcacf44cae74848751247458c0c039d_Bus 1,0.1752600073814392,-0.14744199812412262,73.72503662109375,0.8058670163154602,-73.96827697753906,0.30175700783729553
ffcacf44cae74848751247458c0c039d_Bus 1,0.1752600073814392,-0.18421399593353271,63.832550048828125,17.751291275024414,-81.0248794555664,0.30175700783729553
ffcacf44cae74848751247458c0c039d_Bus 1,0.12923499941825867,-0.20260000228881836,50.14161682128906,35.41460037231445,-85.04070281982422,0.26872900128364563
ffcacf44cae74848751247458c0c039d_Bus 1,0.1200300008058548,-0.23017899692058563,34.567970275878906,50.556968688964844,-84.7101821899414,0.23570099472999573
ffcacf44cae74848751247458c0c039d_Bus 1,0.10162000358104706,-0.21179300546646118,20.332040786743164,62.17668533325195,-82.16517639160156,0.16964499652385712
ffcacf44cae74848751247458c0c039d_Bus 1,0.027979999780654907,-0.19340699911117554,5.286874771118164,71.30885314941406,-76.28192138671875,0.16964499652385712
ffcacf44cae74848751247458c0c039d_Bus 1,-0.018045000731945038,-0.14744199812412262,-10.996914863586426,78.65465545654297,-67.4900894165039,0.08707500249147415
ffcacf44cae74848751247458c0c039d_Bus 1,-0.054864998906850815,-0.1382489949464798,-28.717510223388672,84.130615234375,-55.29389953613281,0.037533000111579895
ffcacf44cae74848751247458c0c039d_Bus 1,-0.10089000314474106,-0.11067000031471252,-45.38114547729492,84.96536254882812,-39.52809524536133,0.004505000077188015
ffcacf44cae74848751247458c0c039d_Bus 1,-0.1193000003695488,-0.1014769971370697,-58.44451141357422,83.345947265625,-24.935638427734375,-0.06155100092291832
ffcacf44cae74848751247458c0c039d_Bus 1,-0.15612000226974487,-0.037126000970602036,-68.66729736328125,78.82160186767578,-10.293601989746094,-0.11109299957752228
ffcacf44cae74848751247458c0c039d_Bus 1,-0.1745299994945526,0.008839000016450882,-76.79267120361328,70.70783233642578,5.9184041023254395,-0.16063499450683594
ffcacf44cae74848751247458c0c039d_Bus 1,-0.19293999671936035,0.03641799837350845,-82.98580169677734,59.73921585083008,22.973236083984375,-0.2101770043373108
ffcacf44cae74848751247458c0c039d_Bus 1,-0.22055499255657196,0.10076899826526642,-85.1162338256836,44.53007125854492,40.20985412597656,-0.19366300106048584
ffcacf44cae74848751247458c0c039d_Bus 1,-0.22055499255657196,0.10076899826526642,-84.14185333251953,29.454486846923828,54.27347946166992,-0.2432049959897995
ffcacf44cae74848751247458c0c039d_Bus 1,-0.2113499939441681,0.14673399925231934,-80.6076431274414,15.04670238494873,65.06495666503906,-0.29274699091911316
ffcacf44cae74848751247458c0c039d_Bus 1,-0.16532500088214874,0.1743129938840866,-73.57225036621094,-1.0472780466079712,74.13773345947266,-0.3092609941959381
ffcacf44cae74848751247458c0c039d_Bus 1,-0.16532500088214874,0.19269900023937225,-63.613704681396484,-18.042787551879883,81.1943359375,-0.32577499747276306
ffcacf44cae74848751247458c0c039d_Bus 1,-0.13771000504493713,0.22027799487113953,-49.85670852661133,-35.70609664916992,85.12752532958984,-0.25971901416778564
ffcacf44cae74848751247458c0c039d_Bus 1,-0.11009500175714493,0.23866400122642517,-34.29957962036133,-50.78168487548828,84.73089599609375,-0.19366300106048584
ffcacf44cae74848751247458c0c039d_Bus 1,-0.08247999846935272,0.22947099804878235,-20.08016586303711,-62.317928314208984,82.13631439208984,-0.16063499450683594
ffcacf44cae74848751247458c0c039d_Bus 1,-0.027249999344348907,0.2110850065946579,-4.952425003051758,-71.40000915527344,76.1704330444336,-0.14412100613117218
ffcacf44cae74848751247458c0c039d_Bus 1,0.03718499839305878,0.1743129938840866,11.215760231018066,-78.64563751220703,67.36207580566406,-0.09457899630069733
ffcacf44cae74848751247458c0c039d_Bus 1,0.055594999343156815,0.14673399925231934,28.87029457092285,-84.0715103149414,55.13283157348633,-0.028522999957203865
ffcacf44cae74848751247458c0c039d_Bus 1,0.10162000358104706,0.1375409960746765,45.583473205566406,-84.93965148925781,39.367027282714844,0.037533000111579895
ffcacf44cae74848751247458c0c039d_Bus 1,0.1200300008058548,0.10996200144290924,58.6468391418457,-83.27014923095703,24.741518020629883,0.0705609992146492
ffcacf44cae74848751247458c0c039d_Bus 1,0.15684999525547028,0.0548040010035038,68.82008361816406,-78.69572448730469,10.049903869628906,0.1035889983177185
ffcacf44cae74848751247458c0c039d_Bus 1,0.18446500599384308,-0.00954699981957674,76.96197509765625,-70.5485610961914,-6.145576000213623,0.15313099324703217
ffcacf44cae74848751247458c0c039d_Bus 1,0.19367000460624695,-0.027932999655604362,83.1881332397461,-59.52986145019531,-23.316089630126953,0.20267300307750702
