13,7500,0,2,-3698,4986,-1357,-11,-44,-83,-3695,5039,-1348,-1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
14,8125,0,1,-4251,4714,-533,-13,-59,-70,-4250,4763,-521,-2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
15,8750,-1,1,-4692,4265,356,-17,-65,-42,-4685,4310,366,-4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
16,9375,1,0,-5083,3638,1376,-19,-81,-8,-5078,3677,1385,-10,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
17,10000,0,0,-5233,2659,2514,-18,-107,18,-5231,2687,2520,-12,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
18,10625,0,0,-5119,1627,3440,-19,-123.99999999999999,41,-5113,1644,3445,-15,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
19,11250,0,2,-4890,787,4059.9999999999995,-18,-131,56,-4884,795,4062,-16,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
20,11875,0,0,-4481,-77,4524,-17,-115.99999999999999,65,-4476,-79,4523,-16,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
21,12500,0,1,-3930,-1042,4949,-17,-89,77,-3925.9999999999995,-1051,4948,-15,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
22,13125,0,-1,-3048,-2170,5217,-11,-91,102,-3043,-2191,5216,-11,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
23,13750,1,1,-1972.0000000000002,-3168,5156,-10,-87,125,-1966.9999999999998,-3198,5155,-7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
24,14375,1,2,-1076,-3861.9999999999995,4969,-4,-80,133,-1073,-3899,4968,-3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
25,15000,0,0,-239,-4344,4625,-3,-61.99999999999999,129,-235,-4386,4622,-2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
26,15625,1,2,678,-4759,4133,1,-25,100,680,-4807,4127,-2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
27,16250,-1,0,1777,-5101,3387,4,0,93,1774,-5152,3380,-3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
28,16875,1,1,2876,-5143,2334,8,27,93,2873,-5196,2324,-2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
29,17500,0,1,3702,-4988,1358,12,44,85,3697,-5043,1349,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
30,18125,0,1,4258,-4714,528,13,63,73,4253,-4765,518,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
31,18750,0,2,4698,-4264,-360,16,67,46,4690,-4312,-370,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
32,19375,0,1,5093,-3639,-1384,19,81,11,5086,-3680,-1390,9,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
33,20000,0,1,5240,-2663,-2514,19,109,-16,5233,-2693,-2520,11,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
34,20625,0,1,5124,-1629,-3442,19,122.00000000000001,-37,5117,-1646,-3446,15.000000000000002,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
35,21250,0,1,4892,-782,-4063.0000000000005,19,130,-53,4885,-792,-4066,17,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
36,21875,0,1,4481,83,-4527,20,117,-61.99999999999999,4474,82,-4526,17,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
37,22500,-1,0,3924.9999999999995,1042,-4945,18,92,-75,3918.0000000000005,1051,-4943,16,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
